session_ix,n_agents,max_speed_avg,max_speed_dev,desired_distance_avg,desired_distance_dev,acceleration_avg,acceleration_dev,n_lanes,t_start,t_end,x_start,x_end,measure_point_x,accepted_dist_delta,window_size,average_velocity,rolling_average_density,rolling_average_flow
130,40,1.5,0.5,30,0,0.02,0.005,2,279520,280980,200,800,500,10,100,1.496573362583322,0.0231626848691695,3.4285714285714284
131,40,1.5,0.5,30,0,0.02,0.005,3,281389,282628,200,800,500,10,100,1.4966064467512554,0.0239180107526881,3.6666666666666665
132,40,1.5,0.5,30,0,0.02,0.005,1,283157,285590,200,800,500,10,100,1.4965294892599097,0.0139048596851471,1.9166666666666667
133,40,1.5,0.5,30,0,0.02,0.005,2,286045,287600,200,800,500,10,100,1.4969442013042618,0.0213087606837606,2.933333333333333
134,40,1.5,0.5,30,0,0.02,0.005,3,288123,289406,200,800,500,10,100,1.4971198919620574,0.0240337224383917,3.75
135,40,1.5,0.5,30,0,0.02,0.005,1,289934,292504,200,800,500,10,100,1.4970593032471753,0.013304207119741,1.92
136,40,1.5,0.5,30,0,0.02,0.005,2,293051,294675,200,800,500,10,100,1.4973221611953724,0.0199743589743589,2.875
137,40,1.5,0.5,30,0,0.02,0.005,3,295190,296390,200,800,500,10,100,1.497530490514291,0.0269502074688796,3.9166666666666665
138,40,1.5,0.5,30,0,0.02,0.005,1,296851,299247,200,800,500,10,100,1.4975533352393835,0.0132256944444444,2.0
139,40,1.5,0.5,30,0,0.02,0.005,2,299674,301307,200,800,500,10,100,1.4976674136844603,0.0193119266055046,2.875
140,40,1.5,0.5,30,0,0.02,0.005,3,301804,302980,200,800,500,10,100,1.4979772918773615,0.0271398305084745,4.454545454545454
141,40,1.5,0.5,30,0,0.02,0.005,1,303485,305943,200,800,500,10,100,1.49820080271088,0.013810975609756,1.9166666666666667
142,40,1.5,0.5,30,0,0.02,0.005,2,306405,307963,200,800,500,10,100,1.4983780211536366,0.0191987179487179,2.933333333333333
143,40,1.5,0.5,30,0,0.02,0.005,3,308452,309723,200,800,500,10,100,1.4987685371940882,0.0241176470588235,3.75
144,40,1.5,0.5,30,0,0.02,0.005,1,310156,312662,200,800,500,10,100,1.4989752465973547,0.0132569721115537,1.76
145,40,1.5,0.5,30,0,0.02,0.005,2,313115,314662,200,800,500,10,100,1.4988724836730831,0.019774193548387,2.8
146,40,1.5,0.5,30,0,0.02,0.005,3,315097,316326,200,800,500,10,100,1.4991505605377204,0.0250474254742547,3.6666666666666665
147,40,1.5,0.5,30,0,0.02,0.005,1,316839,319399,200,800,500,10,100,1.499217493997687,0.0128525016244314,1.96
148,40,1.5,0.5,30,0,0.02,0.005,2,319917,321544,200,800,500,10,100,1.4995461965846788,0.0197597137014314,2.6875
149,40,1.5,0.5,30,0,0.02,0.005,3,322008,323265,200,800,500,10,100,1.5000546640792602,0.0261243386243386,3.9166666666666665
